randomized_id,start_lat,start_lng,end_lat,end_lng
7637058049336049989,51.08105,71.39968,51.09996,71.41219
7180852955221959108,51.086634,71.432735,51.081114,71.399625
-9163058962347897266,51.08122,71.39965,51.10167,71.41448
5965568696283616614,51.10123,71.40699,51.09977,71.42921
8912987557492744692,51.101279,71.406808,51.102229,71.410838
4946418821398555409,51.101092,71.406742,51.102224,71.410948
-1497322719701473200,51.09962,71.42995,51.09333,71.41008
-1863396568162172735,51.089466,71.437617,51.089806,71.408747
1167443348261484352,51.101235,71.406756,51.099735,71.429858
7333684189108563626,51.102146,71.422474,51.090146,71.405971
11378713731388539,51.081262,71.399727,51.099054,71.402133
644214573524861096,51.08496,71.43678,51.07834,71.42856
5605187952512631458,51.08096,71.39963,51.10009,71.42863
-2263977994844758864,51.08942,71.43767,51.08125,71.39961
-695151686442235902,51.078519,71.428709,51.099154,71.40211
-7203978565171188633,51.099773,71.429816,51.094137,71.436369
-7232000619053351927,51.100343,71.428553,51.101002,71.406779
-4503039007686843484,51.0762,71.42006,51.08112,71.39958
1117657795074797527,51.085462,71.433088,51.10183,71.422651
7388825032327486093,51.085522,71.433001,51.099928,71.428356
-7497275001539463149,51.07607,71.420055,51.080911,71.399608
6636578100574563618,51.086598,71.432726,51.086047,71.430355
-3233511859109151600,51.099028,71.402189,51.084896,71.43673
-7127951229064392608,51.086428,71.424061,51.081315,71.399703
-8092012232508018684,51.08852,71.41162,51.10101,71.41837
-5182303324346386213,51.07853,71.42823,51.09188,71.41326
443752705174225024,51.098991,71.402323,51.081248,71.399717
5514956162494272558,51.098995,71.40217,51.099962,71.429251
-933252634497367427,51.101796,71.422402,51.081256,71.399686
-1748108334096322536,51.093595,71.411259,51.078434,71.429167
-5331910341585342156,51.08272,71.3977,51.07598,71.41987
-1133026454087232526,51.09105,71.42644,51.10053,71.4237
7330944877497336823,51.084764,71.400879,51.098524,71.405805
2086289153677787796,51.07962,71.41878,51.09412,71.43632
